region_id,mean,region_name
AGO.10.82,-12.25,Chicomba
AGO.10.83,-12.89,Chipindo
AGO.10.84,-13.4,Gambos
AGO.10.85.280,-15.04,Humpata
AGO.10.86,-9.83,Jamba
AGO.10.87,-11.37,Kuvango
AGO.10.88,-14.86,Lubango
AGO.10.89,-9.37,Matala
AGO.10.90,-11.16,Quilengues
AGO.10.91.297,-11.88,Tchipungo
AGO.11.100,-1.93,Viana
AGO.11.92,-1.88,Cacuaco
AGO.11.93,-3.04,Cazenga
AGO.11.94,-3.89,Ingombota
AGO.11.95.309,-3.42,Kilamba Kiaxi
AGO.11.96,-4.26,Maianga
AGO.11.97,-3.14,Rangel
AGO.11.98,-3.95,Samba
AGO.11.99,-3.03,Sambizanga
AGO.12.101,-3.81,Cambulo
AGO.12.102,-8.25,Capenda
AGO.12.103,-8.93,Caungula
AGO.12.104,-4.58,Chitato
AGO.12.105,-5.59,Cuango
AGO.12.106,-7.28,Cuilo
AGO.12.107,-8.72,Lubalo
AGO.12.108,-6.35,Lucapa
AGO.12.109,-7.4,X Muteba
AGO.13.110,-10.53,Cacolo
AGO.13.111,-8.83,Dala
AGO.13.112,-5.62,Muconda
AGO.13.113,-6.5,Saurimo
AGO.14.114,-11.22,Cacuzo
AGO.14.115,-10.56,Calandula
AGO.14.116,-10.58,Cambundi-Catembo
AGO.14.117,-10.34,Cangandala
AGO.14.118,-5.22,Caombo
AGO.14.119,-9.6,Cuaba Nzogo
AGO.14.120,-2.34,Cunda-dia-Baza
AGO.14.121,-10.2,Luquembo
AGO.14.122,-10.69,Malanje
AGO.14.123,-4.06,Marimba
AGO.14.124,-5.25,Massango
AGO.14.125,-9.57,Mucari
AGO.14.126,-5.34,Quela
AGO.14.127,-10.73,Quirima
AGO.15.128,-6.79,Alto Zambeze
AGO.15.129.423,-9.19,Camanongue
AGO.15.130.424,-6.56,Kameia
AGO.15.131,-8.66,Lua
AGO.15.132.427,-5.2,Luau
AGO.15.133,-5.87,Lucano
AGO.15.134,-6.7,Luchazes
AGO.15.135,-3.5,Lumbala-Nguimbo
AGO.15.136,-9.72,Moxico
AGO.16.137,-11.79,Bibala
AGO.16.138,-11.49,Camacuio
AGO.16.139,-9.82,Namibe
AGO.16.140,-10.93,Tombwa
AGO.16.141,-12.1,Virei
AGO.17.142,-11.12,Alto Cauale
AGO.17.143,-8.07,Ambuila
AGO.17.144,-7.15,Bembe
AGO.17.145,-8.68,Buengas
AGO.17.146.471,-12.32,Bungo
AGO.17.147,-10.34,Damba
AGO.17.148,-7.9,Maquela do Zombo
AGO.17.149,-5.31,Milunga
AGO.17.150,-10.89,Mucaba
AGO.17.151,-11.9,Negage
AGO.17.152.491,-12.01,Puri
AGO.17.153,-5.67,Quimbele
AGO.17.154,-10.24,Quitexe
AGO.17.155,-9.44,Sanza Pombo
AGO.17.156,-8.37,Songo
AGO.17.157.506,-11.43,Uige
AGO.18.158,-6.72,Cuimba
AGO.18.159,-4.58,M'Banza Congo
AGO.18.160,-3.33,N'Zeto
AGO.18.161,-2.92,Noqui
AGO.18.162,0.4,Soyo
AGO.18.163,-3.86,Tomboco
AGO.2.10,-10.93,Caiambambo
AGO.2.11,-11.04,Chongoroi
AGO.2.12,-11.55,Cubal
AGO.2.13,-13.47,Ganda
AGO.2.14,-4.13,Lobito
AGO.2.6,-7.73,Baa Farta
AGO.2.7,-14.19,Balombo
AGO.2.8.31,-4.77,Benguela
AGO.2.9,-13.03,Bocoio
AGO.3.15,-13.49,Andulo
AGO.3.16,-11.26,Camacupa
AGO.3.17,-12.43,Catabola
AGO.3.18,-14.22,Chinguar
AGO.3.19,-11.49,Chitembo
AGO.3.20,-11.21,Cuemba
AGO.3.21.84,-14.1,Kunhinga
AGO.3.22,-13.75,Kuito
AGO.3.23,-11.43,Nharea
AGO.4.24,-2.67,Belize
AGO.4.25,-0.95,Buco Zau
AGO.4.26,-2.76,Cabinda
AGO.4.27,-1.51,Landana
AGO.5.28,1.44,Calai
AGO.5.29,3.07,Cuangar
AGO.5.30,-8.95,Cuchi
AGO.5.31,-6.03,Cuito Cuanavale
AGO.5.32,2.11,Dirico
AGO.5.33,-2.97,Mavinga
AGO.5.34,-7.78,Menongue
AGO.5.35,-0.91,Nancova
AGO.5.36,2.18,Rivungo
AGO.6.37,-12.6,Ambaca
AGO.6.38,-10.88,Banga
AGO.6.39,-10.3,Bolongongo
AGO.6.40,-9.95,Bula Atumba
AGO.6.41,-2.14,Cambambe
AGO.6.42,-6.91,Cazengo
AGO.6.43,-9.01,Dembos
AGO.6.44,-7.59,Golungo Alto
AGO.6.45,-9.93,Lucala
AGO.6.46,-9.42,Ngonguembo
AGO.6.47,-3.77,Pango Aluqum
AGO.6.48.167,-12.28,Kiculungo
AGO.6.49,-12.21,Samba Caj
AGO.7.50,-11.86,Amboim
AGO.7.51,-14.46,Cassongue
AGO.7.52,-11.1,Conda
AGO.7.53,-14.36,Ebo
AGO.7.54,-11.03,Libolo
AGO.7.55,-12.6,Mussende
AGO.7.56,-1.94,Porto Amboim
AGO.7.57,-14.16,Quibala
AGO.7.58,-9.77,Quilenda
AGO.7.59,-10.74,Seles
AGO.7.60,-4.5,Sumbe
AGO.7.61,-14.58,Waku Kungo
AGO.8.62,-12.66,Cahama
AGO.8.63,-2.49,Cuanhama
AGO.8.64,-14.37,Curoca
AGO.8.65,-5.7,Cuvelai
AGO.8.66,1.13,Namakunde
AGO.8.67,-8.59,Ombadja
AGO.9.68,-14.23,Bailundo
AGO.9.69,-14.22,Cala
AGO.9.70,-14.15,Catchiungo
AGO.9.71,-14.64,Ekunha
AGO.9.72,-14.29,Huambo
AGO.9.73,-14.62,Londuimbale
AGO.9.74,-14.82,Longonjo
AGO.9.75,-14.2,Mungo
AGO.9.76,-13.97,Tchicala-Tcholoanga
AGO.9.77,-14.67,Tchindjenje
AGO.9.78,-14.73,Ukuma
AIA,-5.15,Anguilla
ALA.Ree1987c3c19cbe0d,-23.16,Åland Islands (unnamed region)
ALB.1.1.1,6.92,Berat
ALB.1.1.Rc71f5ca05c59cbbc,6.8,Beratit
ALB.1.2.14,11.38,Kuov
ALB.1.2.Rae57516b5c5112db,11.18,Kuovs
ALB.1.3.18,-4.26,orovod
ALB.1.3.Rbb73513d6edc5fb4,-6.81,Skraparit
ALB.R03f935dfb8f93f22,3.38,Krujs
ALB.R78655fa8b5193657,6.32,Tirans; Lushnjs; Fierit; Kors; Kolonjs; Tirans; Elbasanit; Librazhdit; Gramshit; Devollit; Pogradecit; Gramshit; Lushnjs; Kors; Gramshit; Kors
AND.Ra5cc0db7a54d1bb3,-24.66,Andorra
ARE.1,1.15,Abu Dhabi
ARE.2,1,Ajman
ARE.3,1.24,Dubai
ARE.4,1.73,Fujayrah
ARE.5,0.97,Neutral Zone
ARE.6,4.56,Ras Al Khaymah
ARE.7,1.68,Sharjah
ARE.8,3.75,Umm Al Qaywayn
ARG.1.1,1.83,Adolfo Alsina
ARG.1.10,1.04,Baha Blanca
ARG.1.103,2.08,Salliquel
ARG.1.107,-0.61,San Cayetano
ARG.1.108,-0.41,San Fernando (1)
ARG.1.109,1.09,San Fernando (2)
ARG.1.11,-0.9,Balcarce
ARG.1.110,1.11,San Isidro
ARG.1.111,0.2,San Nicols
ARG.1.112,0.04,San Pedro
ARG.1.113,0.4,San Vicente
ARG.1.115,-0.53,Tandil
ARG.1.117,0.55,Tigre
ARG.1.118,-0.5,Tordillo
ARG.1.119,0.08,Tornquist
ARG.1.121,-0.43,Tres Arroyos
ARG.1.122,1.38,Tres de Febrero
ARG.1.125,1.29,Vicente Lpez
ARG.1.126,-0.17,Villa Gesell
ARG.1.127,0.85,Villarino
ARG.1.14,0.96,Berazategui
ARG.1.18,-0.01,Brandsen
ARG.1.20,0.48,Cauelas
ARG.1.25,-0.52,Castelli
ARG.1.28,0.6,Chivilcoy
ARG.1.29,0.33,Coln
ARG.1.30,0.63,Coronel de Marina Leonardo Rosales
ARG.1.31,-0.22,Coronel Dorrego
ARG.1.32,-0.1,Coronel Pringles
ARG.1.34,0.87,Daireaux
ARG.1.35,-0.39,Dolores
ARG.1.37,0.91,Escobar
ARG.1.38,1.16,Esteban Echeverra
